Ord,Item,Description,UPC,REF#,Sugg. Retail,Discount %,Net Price US $
,LAURLS104-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR (LOVER) 0.12 OZ (3.6 ML), 736150152619, ,30.00,78,6.75
,LAURLS105-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR (THRILL) 0.12 OZ (3.6 ML), 736150157683, ,30.00,78,6.75
,LAURLS48-Q,LAURA MERCIER/VELOUR LOVERS LIP COLOUR VOYEUR 0.12 OZ (3.6 ML), 736150152596, ,28.00,83,4.75
,LAURLS7-Q,"LAURA MERCIER/VELOUR LOVERS LIP COLOUR FOREPLAY .12 OZ (3.6 ML) 
RED ORANGE", 736150147097, ,28.00,72,7.75
,LAURLS88-Q,LAURA MERCIER/ROUGE ESSENTIEL CREAM LIPSTICK (RED WISH) 0.12 OZ, 736150592019, ,32.00,79,6.75
,LAURLS77-Q,LAURA MERCIER/CREME SMOOTH LIP COLOUR (MANGO) .14 OZ (4 ML), 736150098894, ,28.00,62,10.55
,LAURLS42-Q,"LAURA MERCIER/PAINT WASH LIQUID LIP COLOUR FUCHSIA MUAVE .2 OZ (6 ML)
PURPL/PLUM/MUAVE/WINE", 736150130396, ,29.00,73,7.75
,LACANLCN4-Q,"LAURA MERCIER/CANDLEGLOW #3 CONCEALER&HIGHLIGHTER 0.07 OZ (2.2 ML)
MEDIUM INTENSITY 
W/COOL UNDERTONES", 736150154439, ,32.00,79,6.75
,LACANLFO2-Q,LAURA MERCIER/CANDLEGLOW SOFT LUMINOUS FOUNDATION (CHESTNUT) 1 OZ (30 ML), 736150150790, 15079,48.00,94,2.70
,LACANLFO3-Q,LAURA MERCIER/CANDLEGLOW SOFT LUMINOUS FOUNDATION (ESPRESSO) 1 OZ (30 ML), 736150150837, ,48.00,94,2.75
,LACANLFO7-Q,LAURA MERCIER/CANDLEGLOW SOFT LUMINOUS FOUNDATION (TRUFFLE) 1 OZ (30 ML), 736150150813, ,48.00,82,8.75
,LACANLFO9-Q,LAURA MERCIER/CANDLEGLOW SOFT LUMINOUS FOUNDATION (PECAN) 1 OZ (30 ML), 736150150752, ,48.00,61,18.50
,LAFLFSCN14-Q,LAURA MERCIER/FLAWLESS FUSION ULTRA LONGWEAR CONCEALER (5C) NUTMEG .23 OZ (7 ML), 736150175106, ,29.00,77,6.55
,MACCCPL9-Q,"MAC COSMETICS/HYPER REAL GLOW PALETTE / GET LIT 0.15 OZ (4.5 ML) 
3 HIGHLIGHT SHADES
SILVER FONT", 773602479559, S88C030111,39.50,40,23.77
,MACCES105-Q,MAC COSMETICS/EYE SHADOW MOTIF! FROST  0.05OZ/1.5G, 773602572687, ,18.00,41,10.65
,MACCES106-Q,"MAC COSMETICS/POWDER KISS SOFT MATTE EYE SHADOW (WERK,WERK,WERK)  0.05 OZ", 773602581078, SK3717,21.00,39,12.75
,MACCES41-Q,MAC COSMETICS/EYE SHADOW (HAUTE SAUCE) MATTE 0.05 OZ (1.5 ML), 773602572618, ,17.00,41,10.10
,MACCES61-Q,MAC COSMETICS/EYE SHADOW (MEMORIES OF SPACE) SATIN 0.05 OZ (1.5 ML), 773602467174, ,17.00,41,10.10
,MACCL3-Q,"MAC COSMETICS/4 LASH (1 PAIR) 
NATURAL LENGTH & WISPY", 773602125753, M8H1-01,18.00,51,8.75
,MACCLG90-Q,"MAC COSMETICS/VERSICOLOUR VARNISH CREAM LIP STAIN (SERIAL STAIN) 0.17 OZ 
ROSE RED", 773602516087, ,22.00,40,13.30
,MACCLLP9-Q,MAC COSMETICS/VELVETEASE LIP PENCIL JUST ADD ROMANCE .05 OZ (1.5 ML), 773602317677, ,21.00,58,8.75
,MACCLS58-Q,"MAC COSMETICS/MATTE LIPSTICK MATTE ROYAL .1 OZ (3 ML)
DEEP BLUE", 773602388028, M2LP3J,18.50,38,11.38
,MACCLS108-Q,MAC COSMETICS/PATENT PAINT LIP LACQUER (585 PATENT PLEASURE) 0.1 OZ (3 ML), 773602562077, SHYG,22.00,40,13.30
,MACCLS110-Q,MAC COSMETICS/PATENT PAINT LIP LACQUER (587 LACQUERED UP) 0.1 OZ (3 ML), 773602562084, SHYG,22.00,40,13.30
,MACCLSLQ28-Q,MAC COSMETICS/POWDER KISS LIQUID LIPCOLOUR (983 BURNING LOVE) 0.17 OZ, 773602567805, ,25.00,40,14.95
,MACCLSLQ32,MAC COSMETICS/POWDER KISS LIQUID LIPCOLOUR (987 M-A-CSMASH) 0.17 OZ, 773602567843, 567843,25.00,69,7.70
,MACCLS40-Q,MAC COSMETICS/VERSICOLOUR STAIN (LONG DISTANCE RELATIONSHIP) 0.28 OZ, 773602380183, ,25.00,40,14.95
,MADAZZES14-Q,MAC COSMETICS/DAZZLESHADOW EXTREME (CELEBUTANTE) 0.05 OZ (1.5 ML), 773602567676, ,20.00,39,12.20
,MADAZZES16-Q,MAC COSMETICS/DAZZLESHADOW EXTREME (COUTURE COPPER) 0.05 OZ (1.5 ML), 773602567638, ,21.00,39,12.75
