Product code,Description,Pack,Size,Measurement,Unit UPC,Category,[TI],[HI],Min Purchase Qty 1,Case Price 1,Unit Price 1,Min Purchase Qty 2,Case Price 2,Unit Price 2,Min Purchase Qty 3,Case Price 3,Unit Price 3,Min Purchase Qty 4,Case Price 4,Unit Price 4
10739,BRILLO DISH DETERGENT APPLE,12,24,oz,1002028092,Household Products,16,4,0,$11.74,$0.98,,,,,,,,,
10740,BRILLO DISH DETERGENT LAVENDER,12,24,oz,1002028093,Household Products,16,4,0,$11.74,$0.98,,,,,,,,,
10741,BRILLO DISH DETERGENT LEMON,12,24,oz,1002028091,Household Products,16,4,0,$11.74,$0.98,,,,,,,,,
10742,BRILLO DISH DETERGENT ORANGE,12,24,oz,1002028090,Household Products,16,4,0,$11.74,$0.98,,,,,,,,,
10743,BRILLO DISH DETERGENT OXY,12,24,oz,810020280890,Household Products,16,4,0,$11.74,$0.98,,,,,,,,,
10744,BRILLO DRAIN OPENER,12,32,oz,1002028082,Household Products,12,5,0,$11.07,$0.93,,,,,,,,,
10745,BRILLO ESTRACELL HD SPONGE,8,3,ct,070881210317,Kitchen Supplies,12,8,0,$20.19,$2.52,,,,,,,,,
10746,BRILLO ESTRACELL NO SCRATCH WEDGE EDGE VARIETY PACK,8,3,ct,070881210355,Kitchen Supplies,18,4,0,$21.84,$2.73,,,,,,,,,
10747,BRILLO GLASS CLEANER,12,22,oz,1002028064,Household Products,15,4,0,$12.24,$1.02,,,,,,,,,
16711,BRILLO GLASS CLEANER CAN ,12,9,oz,810020287332,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
16341,BRILLO OVEN CLEANER ,12,9,oz,810020287370,Household Products,25,5,0,$12.24,$1.02,,,,,,,,,
10750,BRILLO OVEN CLEANER FUME FREE,12,9,oz,810020287363,Household Products,18,5,0,$12.24,$1.02,,,,,,,,,
10751,BRILLO SCRUB MAX BATHROOM,6,2,ct,070881248280,Kitchen Supplies,26,8,0,$19.10,$3.18,,,,,,,,,
10752,BRILLO SCRUB MAX KITCHEN,6,2,ct,070881248242,Kitchen Supplies,26,8,0,$19.47,$3.24,,,,,,,,,
10753,BRILLO SCRUB MAX ORIGINAL ALL PURPOSE,6,2,ct,070881248266,Kitchen Supplies,26,8,0,$19.47,$3.24,,,,,,,,,
10754,BRILLO SHOWER CLEANER,12,22,oz,81002028070,Household Products,15,4,0,$12.24,$1.02,,,,,,,,,
10755,BRILLO SNO BOL TOILET CLEANER,6,24,oz,070881322249,Household Products,28,4,0,$16.62,$2.77,,,,,,,,,
10758,BRILLO STEEL WOOL SOAP PAD RED ,6,10,ct,10070881236109,Kitchen Supplies,20,5,0,$16.62,$2.77,,,,,,,,,
10760,BRILLO STEEL WOOL SOAP PADS LEMON,6,10,ct,070881233200,Kitchen Supplies,20,5,0,$16.62,$2.77,,,,,,,,,
10761,BRILLO STRIP & SHINE STEEL WOOL BALLS,24,6,ct,070881233064,Kitchen Supplies,6,4,0,$31.89,$1.33,,,,,,,,,
10762,BRILLO WIPES BATHROOM CLEANER,12,40,ct,1002028106,Household Products,15,5,0,$10.56,$0.88,,,,,,,,,
10763,BRILLO WIPES GLASS CLEANER,12,40,ct,1002028105,Household Products,15,5,0,$10.56,$0.88,,,,,,,,,
10764,BRILLO WIPES ORANGE,12,40,ct,1002028107,Household Products,15,5,0,$10.56,$0.88,,,,,,,,,
10765,BRILLO WIPES W/ BLEACH,12,40,ct,1002028543,Household Products,15,5,0,$10.56,$0.88,,,,,,,,,
10766,BROOKS CHILI MIX,12,30,oz,023000966053,Beans & Chili,10,10,0,$23.36,$1.95,,,,,,,,,
10767,BROOKS HOT CHILI BEANS,24,15.5,oz,023000965056,Beans & Chili,17,5,0,$25.24,$1.05,,,,,,,,,
10768,BROOKS HOT CHILI BEANS,12,30.5,oz,023000965452,Beans & Chili,10,10,0,$23.36,$1.95,,,,,,,,,
10769,BROOKS MILD CHILI BEANS,24,15.5,oz,023000982053,Beans & Chili,17,5,0,$25.24,$1.05,,,,,,,,,
10770,BROOKS MILD CHILI BEANS,12,30.5,oz,023000982251,Beans & Chili,10,10,0,$23.36,$1.95,,,,,,,,,
10772,BROOKS MIXED MOD BEANS & CHILI MIX,720,30,oz,02300095559,Pallet Mods & Shippers,1,1,0,"$1,371.96",$1.91,,,,,,,,,
10775,BROWN BAG 12LB,1,500,ct,079594809825,Paper Products,,,0,$23.69,$23.69,,,,,,,,,
10776,BROWN BAG 1LB,1,500,ct,076955720676,Miscellaneous Non Food,,,0,$9.27,$9.27,,,,,,,,,
10777,BROWN BAG 20LB,1,500,ct,076955700517,Paper Products,,,0,$25.75,$25.75,,,,,,,,,
10778,BROWN BAG 2LB,1,500,ct,079594184021,Miscellaneous Non Food,,,0,$10.30,$10.30,,,,,,,,,
10779,BROWN BAG 3LB,1,500,ct,079594184038,Miscellaneous Non Food,,,0,$14.42,$14.42,,,,,,,,,
10780,BROWN BAG 4LB,1,500,ct,079594810074,Paper Products,,,0,$13.39,$13.39,,,,,,,,,
10781,BROWN BAG 5LB,1,500,ct,079594810821,Paper Products,,,0,$15.45,$15.45,,,,,,,,,
10782,BROWN BAG 6LB,1,500,ct,079594184069,Miscellaneous Non Food,,,0,$18.54,$18.54,,,,,,,,,
10783,BROWN BAG 8LB,1,500,ct,079594184083,Paper Products,,,0,$18.54,$18.54,,,,,,,,,
10784,BROWN BAG PINT,1,500,ct,076955721185,Miscellaneous Non Food,,,0,$15.45,$15.45,,,,,,,,,
10785,BROWN BAGS LIQUOR QUART,1,500,ct,076955721208,Paper Products,,,0,$18.54,$18.54,,,,,,,,,
